d_date,fajr_begins,fajr_jamah,sunrise,zuhr_begins,zuhr_jamah,asr_mithl_1,asr_mithl_2,asr_jamah,maghrib_begins,maghrib_jamah,isha_begins,isha_jamah,is_ramadan,hijri_date
2019-05-06,03:41:00,04:01:00,05:21:00,13:02:00,13:30:00,17:04:00,17:04:00,18:30:00,20:34:00,20:49:00,21:45:00,22:30:00,0,0
2019-05-07,03:38:00,03:58:00,05:19:00,13:02:00,13:30:00,17:04:00,17:04:00,18:30:00,20:36:00,20:51:00,21:47:00,22:30:00,0,0
2019-05-08,03:37:00,03:57:00,05:18:00,13:02:00,13:30:00,17:05:00,17:05:00,18:30:00,20:38:00,20:53:00,21:49:00,22:30:00,0,0
2019-05-09,03:34:00,03:54:00,05:16:00,13:02:00,13:30:00,17:06:00,17:06:00,18:30:00,20:39:00,20:54:00,21:50:00,22:30:00,0,0
2019-05-10,03:32:00,03:52:00,05:14:00,13:02:00,13:15:00,17:06:00,17:06:00,18:45:00,20:41:00,20:56:00,21:52:00,22:30:00,0,0
2019-05-11,03:30:00,03:50:00,05:13:00,13:02:00,13:30:00,17:07:00,17:07:00,18:45:00,20:42:00,20:57:00,21:53:00,22:30:00,0,0
2019-05-12,03:28:00,03:48:00,05:11:00,13:02:00,13:30:00,17:07:00,17:07:00,18:45:00,20:44:00,20:59:00,21:55:00,22:30:00,0,0
2019-05-13,03:25:00,03:45:00,05:09:00,13:02:00,13:30:00,17:08:00,17:08:00,18:45:00,20:45:00,21:00:00,21:55:00,22:30:00,0,0
2019-05-14,03:24:00,03:44:00,05:08:00,13:02:00,13:30:00,17:09:00,17:09:00,18:45:00,20:47:00,21:02:00,21:57:00,22:30:00,0,0
2019-05-15,03:21:00,03:41:00,05:06:00,13:02:00,13:30:00,17:09:00,17:09:00,18:45:00,20:48:00,21:03:00,21:58:00,22:30:00,0,0
2019-05-16,03:20:00,03:40:00,05:05:00,13:02:00,13:30:00,17:10:00,17:10:00,18:45:00,20:50:00,21:05:00,22:01:00,22:40:00,0,0
2019-05-17,03:17:00,03:37:00,05:03:00,13:02:00,13:15:00,17:10:00,17:10:00,18:45:00,20:51:00,21:06:00,22:02:00,22:40:00,0,0
2019-05-18,03:16:00,03:36:00,05:02:00,13:02:00,13:30:00,17:11:00,17:11:00,18:45:00,20:53:00,21:08:00,22:04:00,22:40:00,1,0
2019-05-19,03:14:00,03:34:00,05:01:00,13:02:00,13:30:00,17:12:00,17:12:00,18:45:00,20:54:00,21:09:00,22:06:00,22:40:00,1,0
2019-05-20,03:12:00,03:32:00,04:59:00,13:02:00,13:30:00,17:12:00,17:12:00,18:45:00,20:56:00,21:11:00,22:08:00,22:40:00,1,0
2019-05-21,03:10:00,03:30:00,04:58:00,13:02:00,13:30:00,17:13:00,17:13:00,18:45:00,20:57:00,21:12:00,22:09:00,22:40:00,1,0
2019-05-22,03:09:00,03:29:00,04:57:00,13:02:00,13:30:00,17:13:00,17:13:00,18:45:00,20:59:00,21:14:00,22:12:00,22:40:00,1,0
2019-05-23,03:06:00,03:26:00,04:55:00,13:02:00,13:30:00,17:14:00,17:14:00,18:45:00,21:00:00,21:15:00,22:13:00,22:40:00,1,0
2019-05-24,03:04:00,03:24:00,04:54:00,13:02:00,13:15:00,17:14:00,17:14:00,18:45:00,21:01:00,21:16:00,22:14:00,22:40:00,1,0
2019-05-25,03:02:00,03:22:00,04:53:00,13:02:00,13:30:00,17:15:00,17:15:00,18:45:00,21:03:00,21:18:00,22:17:00,22:40:00,1,0
2019-05-26,03:01:00,03:26:00,04:52:00,13:03:00,13:30:00,17:15:00,17:15:00,18:45:00,21:04:00,21:19:00,22:18:00,22:50:00,1,0
2019-05-27,02:59:00,03:24:00,04:51:00,13:03:00,13:30:00,17:16:00,17:16:00,18:45:00,21:05:00,21:20:00,22:19:00,22:50:00,1,0
2019-05-28,02:58:00,03:23:00,04:50:00,13:03:00,13:30:00,17:16:00,17:16:00,18:45:00,21:06:00,21:21:00,22:21:00,22:50:00,1,0
2019-05-29,02:56:00,03:21:00,04:49:00,13:03:00,13:30:00,17:17:00,17:17:00,18:45:00,21:07:00,21:22:00,22:22:00,22:50:00,1,0
2019-05-30,02:55:00,03:20:00,04:48:00,13:03:00,13:30:00,17:17:00,17:17:00,18:45:00,21:09:00,21:24:00,22:24:00,22:50:00,1,0
2019-05-31,02:53:00,03:18:00,04:47:00,13:03:00,13:15:00,17:18:00,17:18:00,18:45:00,21:10:00,21:25:00,22:26:00,22:50:00,1,0
2019-06-01,02:52:00,03:17:00,04:46:00,13:03:00,13:30:00,17:18:00,17:18:00,18:45:00,21:11:00,21:26:00,22:27:00,22:50:00,1,0
2019-06-02,02:51:00,03:16:00,04:46:00,13:03:00,13:30:00,17:19:00,17:19:00,18:45:00,21:12:00,21:27:00,22:29:00,22:50:00,1,0
2019-06-03,02:50:00,03:15:00,04:45:00,13:04:00,13:30:00,17:19:00,17:19:00,18:45:00,21:13:00,21:28:00,22:30:00,22:50:00,1,0
2019-06-04,02:48:00,03:20:00,04:44:00,13:04:00,13:30:00,17:20:00,17:20:00,18:45:00,21:14:00,21:19:00,22:31:00,22:50:00,1,0
2019-06-05,02:48:00,03:44:00,04:44:00,13:04:00,13:30:00,17:20:00,17:20:00,18:45:00,21:15:00,21:20:00,22:33:00,22:50:00,1,0
2019-06-06,02:46:00,03:43:00,04:43:00,13:04:00,13:30:00,17:20:00,17:20:00,18:45:00,21:16:00,21:21:00,22:34:00,22:50:00,1,0
2019-06-07,02:45:00,03:42:00,04:42:00,13:04:00,13:15:00,17:21:00,17:21:00,19:30:00,21:17:00,21:22:00,22:35:00,22:50:00,1,0
2019-06-08,02:44:00,03:42:00,04:42:00,13:05:00,13:30:00,17:21:00,17:21:00,19:30:00,21:18:00,21:23:00,22:36:00,22:50:00,1,0
2019-06-09,02:43:00,03:41:00,04:41:00,13:05:00,13:30:00,17:22:00,17:22:00,19:30:00,21:18:00,21:23:00,22:37:00,22:50:00,1,0
